Vehicle ID,Timestamp,Location,Vehicle Type,Speed (km/h),Direction,Lane Number
1,2023-02-01 06:00:00,MS5,Truck,68,Outbound,1
2,2023-02-01 06:30:00,MS5,Truck,79,Outbound,1
3,2023-02-01 07:00:00,MS5,Car,75,Inbound,1
4,2023-02-01 07:30:00,MS5,Truck,63,Inbound,1
5,2023-02-01 08:00:00,MS5,Truck,38,Outbound,1
6,2023-02-01 08:30:00,MS5,Bus,39,Outbound,1
7,2023-02-01 09:00:00,MS5,Car,45,Outbound,1
8,2023-02-01 09:30:00,MS5,Bus,85,Inbound,1
9,2023-02-01 10:00:00,MS5,Bus,55,Inbound,1
10,2023-02-01 10:30:00,MS5,Truck,69,Outbound,1
11,2023-02-01 11:00:00,MS5,Car,46,Inbound,1
12,2023-02-01 11:30:00,MS5,Truck,60,Inbound,1
13,2023-02-01 12:00:00,MS5,Car,85,Outbound,1
14,2023-02-01 12:30:00,MS5,Bus,53,Outbound,1
15,2023-02-01 13:00:00,MS5,Car,79,Inbound,1
16,2023-02-01 13:30:00,MS5,Truck,41,Inbound,1
17,2023-02-01 14:00:00,MS5,Truck,81,Outbound,1
18,2023-02-01 14:30:00,MS5,Truck,89,Inbound,1
19,2023-02-01 15:00:00,MS5,Car,41,Inbound,1
20,2023-02-01 15:30:00,MS5,Bus,60,Outbound,1
21,2023-02-01 16:00:00,MS5,Bus,74,Outbound,1
22,2023-02-01 16:30:00,MS5,Car,39,Inbound,1
23,2023-02-01 17:00:00,MS5,Truck,55,Inbound,1
24,2023-02-01 17:30:00,MS5,Bus,48,Inbound,1
25,2023-02-01 18:00:00,MS5,Truck,38,Outbound,1
26,2023-02-01 18:30:00,MS5,Car,57,Inbound,1
27,2023-02-01 19:00:00,MS5,Truck,76,Inbound,1
28,2023-02-01 19:30:00,MS5,Bus,54,Outbound,1
29,2023-02-01 20:00:00,MS5,Bus,49,Outbound,1
30,2023-02-01 20:30:00,MS5,Truck,84,Inbound,1
31,2023-02-01 21:00:00,MS5,Car,86,Outbound,1
32,2023-02-01 21:30:00,MS5,Truck,79,Outbound,1
33,2023-02-01 22:00:00,MS5,Car,63,Inbound,1
34,2023-02-01 22:30:00,MS5,Truck,42,Outbound,1
35,2023-02-01 23:00:00,MS5,Bus,75,Outbound,1
36,2023-02-01 23:30:00,MS5,Car,82,Inbound,1
37,2023-02-02 00:00:00,MS5,Car,53,Outbound,1
38,2023-02-02 00:30:00,MS5,Car,82,Inbound,1
39,2023-02-02 01:00:00,MS5,Bus,73,Inbound,1
40,2023-02-02 01:30:00,MS5,Truck,80,Outbound,1
41,2023-02-02 02:00:00,MS5,Bus,62,Outbound,1
42,2023-02-02 02:30:00,MS5,Car,80,Outbound,1
43,2023-02-02 03:00:00,MS5,Truck,61,Inbound,1
44,2023-02-02 03:30:00,MS5,Bus,38,Outbound,1
45,2023-02-02 04:00:00,MS5,Car,49,Inbound,1
46,2023-02-02 04:30:00,MS5,Car,69,Outbound,1
47,2023-02-02 05:00:00,MS5,Bus,71,Outbound,1
48,2023-02-02 05:30:00,MS5,Bus,35,Outbound,1
49,2023-02-02 06:00:00,MS5,Bus,37,Inbound,1
50,2023-02-02 06:30:00,MS5,Car,81,Outbound,1
51,2023-02-02 07:00:00,MS5,Bus,58,Outbound,1
52,2023-02-02 07:30:00,MS5,Car,61,Inbound,1
53,2023-02-02 08:00:00,MS5,Bus,74,Inbound,1
54,2023-02-02 08:30:00,MS5,Car,70,Outbound,1
55,2023-02-02 09:00:00,MS5,Car,68,Outbound,1
56,2023-02-02 09:30:00,MS5,Truck,63,Outbound,1
57,2023-02-02 10:00:00,MS5,Bus,58,Inbound,1
58,2023-02-02 10:30:00,MS5,Bus,58,Inbound,1
59,2023-02-02 11:00:00,MS5,Car,76,Inbound,1
60,2023-02-02 11:30:00,MS5,Car,38,Inbound,1
61,2023-02-02 12:00:00,MS5,Car,37,Outbound,1
62,2023-02-02 12:30:00,MS5,Truck,68,Inbound,1
63,2023-02-02 13:00:00,MS5,Truck,83,Inbound,1
64,2023-02-02 13:30:00,MS5,Car,57,Inbound,1
65,2023-02-02 14:00:00,MS5,Bus,87,Outbound,1
66,2023-02-02 14:30:00,MS5,Bus,86,Outbound,1
67,2023-02-02 15:00:00,MS5,Truck,57,Inbound,1
68,2023-02-02 15:30:00,MS5,Truck,79,Inbound,1
69,2023-02-02 16:00:00,MS5,Car,39,Outbound,1
70,2023-02-02 16:30:00,MS5,Bus,65,Outbound,1
